time,Q,s,T
2008-12-16,-1.359209,0.0,0.0
2008-12-17,-1.359209,0.0,0.0
2008-12-18,-1.387525,0.0,0.0
2008-12-19,-1.330892,0.0,0.0
2008-12-20,-1.160991,0.0,0.0
2008-12-21,-1.217624,0.0,0.0
2008-12-22,-1.217624,0.0,0.0
2008-12-23,-1.217624,0.0,0.0
2008-12-24,-1.330892,0.0,0.0
2008-12-25,-1.245941,0.0,0.0
2008-12-26,-1.160991,0.0,0.0
2008-12-27,-1.07604,0.0,0.0
2008-12-28,-1.189308,0.0,0.0
2008-12-29,-1.274258,0.0,0.0
2008-12-30,-1.302575,0.0,0.0
2008-12-31,-1.472476,0.0,0.0
2009-01-01,-1.52911,0.0,0.0
2009-01-02,-1.500793,0.0,0.0
2009-01-03,-1.387525,0.0,0.0
2009-01-04,-1.415842,0.0,0.0
2009-01-05,-1.52911,0.0,0.0
2009-01-06,-1.585743,0.0,0.0
2009-01-07,-1.585743,0.0,0.0
2009-01-08,-1.52911,0.0,0.0
2009-01-09,-1.642377,0.0,0.0
2009-01-10,-1.557427,0.0,0.0
2009-01-11,-1.52911,0.0,0.0
2009-01-12,-1.642377,0.0,0.0
2009-01-13,-1.670694,0.0,0.0
2009-01-14,-1.699011,0.0,0.0
2009-01-15,-1.812278,0.0,0.0
2009-01-16,-2.321981,0.0,0.0
2009-01-17,-1.982179,0.0,0.0
2009-01-18,-2.038813,0.0,0.0
2009-01-19,-2.06713,0.0,0.0
2009-01-20,-2.095447,0.0,0.0
2009-01-21,-2.010496,0.0,0.0
2009-01-22,-1.274258,0.0,0.0
2009-01-23,-0.6229706,0.0,0.0
2009-01-24,-0.2831685,0.0,0.0
2009-01-25,-1.047723,0.0,0.0
2009-01-26,-0.8211886,0.0,0.0
2009-01-27,-0.8778222,0.0,0.0
2009-01-28,-1.047723,0.0,0.0
2009-01-29,-1.07604,0.0,0.0
2009-01-30,-1.500793,0.0,0.0
2009-01-31,-1.500793,0.0,0.0
2009-02-01,-1.245941,0.0,0.0
2009-02-02,-1.61406,0.0,0.0
2009-02-03,-0.6229706,0.0,0.0
2009-02-04,-1.500793,0.0,0.0
2009-02-05,-0.9061391,0.0,0.0
2009-02-06,-1.61406,0.0,0.0
2009-02-07,-1.245941,0.0,0.0
2009-02-08,-1.132674,0.0,0.0
2009-02-09,-1.189308,0.0,0.0
2009-02-10,-1.330892,0.0,0.0
2009-02-11,-1.415842,0.0,0.0
2009-02-12,-1.359209,0.0,0.0
2009-02-13,-1.61406,0.0,0.0
2009-02-14,-1.755644,0.0,0.0
2009-02-15,-1.868912,0.0,0.0
2009-02-16,-1.982179,0.0,0.0
2009-02-17,-1.642377,0.0,0.0
2009-02-18,-1.160991,0.0,0.0
2009-02-19,-0.6229706,0.0,0.0
2009-02-20,-0.2265348,0.0,0.0
2009-02-21,-0.2265348,0.0,0.0
2009-02-22,-0.2265348,0.0,0.0
2009-02-23,-0.1982179,0.0,0.0
2009-02-24,-0.1415842,0.0,0.0
2009-02-25,-0.2548516,0.0,0.0
2009-02-26,-0.08495054,0.0,0.0
2009-02-27,-0.05663369,0.0,0.0
2009-02-28,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-03-02,0.0,0.0,0.0
2009-03-03,0.0,0.0,0.0
2009-03-04,0.0,0.0,0.0
2009-03-05,0.0,0.0,0.0
2009-03-06,0.0,0.0,0.0
2009-03-07,0.0,0.0,0.0
2009-03-08,0.0,0.0,0.0
2009-03-09,0.0,0.0,0.0
2009-03-10,0.0,0.0,0.0
2009-03-11,0.0,0.0,0.0
2009-03-12,0.0,0.0,0.0
2009-03-13,0.0,0.0,0.0
2009-03-14,0.0,0.0,0.0
2009-03-15,0.0,0.0,0.0
2009-03-16,-0.4247527,0.0,0.0
2009-03-17,-0.1415842,0.0,0.0
2009-03-18,-0.08495054,0.0,0.0
2009-03-19,0.0,0.0,0.0
2009-03-20,-0.1132674,0.0,0.0
2009-03-21,-0.02831685,0.0,0.0
2009-03-22,-0.1132674,0.0,0.0
2009-03-23,-0.05663369,0.0,0.0
2009-03-24,-0.08495054,0.0,0.0
2009-03-25,-0.02831685,0.0,0.0
2009-03-26,-0.08495054,0.0,0.0
2009-03-27,-0.02831685,0.0,0.0
2009-03-28,0.0,0.0,0.0
2009-03-29,0.0,0.0,0.0
2009-03-30,-0.1415842,0.0,0.0
2009-03-31,-0.08495054,0.0,0.0
2009-04-01,-0.1415842,0.0,0.0
2009-04-02,-0.1699011,0.0,0.0
2009-04-03,-0.3114853,0.0,0.0
2009-04-04,-0.2831685,0.0,0.0
2009-04-05,-0.3398022,0.0,0.0
2009-04-06,-0.2548516,0.0,0.0
2009-04-07,-0.1415842,0.0,0.0
2009-04-08,-0.2265348,0.0,0.0
2009-04-09,-0.1982179,0.0,0.0
2009-04-10,-0.2265348,0.0,0.0
2009-04-11,-0.3398022,0.0,0.0
2009-04-12,-0.2548516,0.0,0.0
2009-04-13,-0.3114853,0.0,0.0
2009-04-14,-0.2831685,0.0,0.0
2009-04-15,-0.3964359,0.0,0.0
2009-04-16,-0.3398022,0.0,0.0
2009-04-17,-0.4813864,0.0,0.0
2009-04-18,-0.6229706,0.0,0.0
2009-04-19,-0.4530695,0.0,0.0
2009-04-20,-0.6512875,0.0,0.0
2009-04-21,-0.9344559,0.0,0.0
2009-04-22,-0.9627728,0.0,0.0
2009-04-23,-1.160991,0.0,0.0
2009-04-24,-1.274258,0.0,0.0
2009-04-25,-1.330892,0.0,0.0
2009-04-26,-1.274258,0.0,0.0
2009-04-27,-1.189308,0.0,0.0
2009-04-28,-1.52911,0.0,0.0
2009-04-29,-1.982179,0.0,0.0
2009-04-30,-1.868912,0.0,0.0
2009-05-01,-1.783961,0.0,0.0
2009-05-02,-2.15208,0.0,0.0
2009-05-03,-1.982179,0.0,0.0
2009-05-04,-2.038813,0.0,0.0
2009-05-05,-1.897229,0.0,0.0
2009-05-06,-1.925546,0.0,0.0
2009-05-07,-1.897229,0.0,0.0
2009-05-08,-1.982179,0.0,0.0
2009-05-09,-1.925546,0.0,0.0
2009-05-10,-1.897229,0.0,0.0
2009-05-11,-1.925546,0.0,0.0
2009-05-12,-2.123763,0.0,0.0
2009-05-13,-2.406932,0.0,0.0
2009-05-14,-2.803368,0.0,0.0
2009-05-15,-2.944952,0.0,0.0
2009-05-16,-2.916635,0.0,0.0
2009-05-17,-3.114853,0.0,0.0
2009-05-18,-3.086536,0.0,0.0
2009-05-19,-2.973269,0.0,0.0
2009-05-20,-2.293665,0.0,0.0
2009-05-21,-2.350298,0.0,0.0
2009-05-22,-3.086536,0.0,0.0
